Complexity,Loss,Equation
1,2.512995e-8,"0.00038881387"
4,1.5748869e-8,"log(input0) * 7.245112e-5"
6,1.567996e-8,"(log(input0) * 7.902664e-5) + -3.7322243e-5"
7,1.3485993e-8,"(log(input0) + log(input1)) * 3.6954298e-5"
9,1.1788292e-8,"((log(input0) + log(input1)) * 5.6898716e-5) + -0.00022163935"
11,1.154383e-8,"(((log(input1) + javautilLinkedListretainAlljavautilCollection) + log(input0)) * 5.6228364e-5) + -0.00022835309"
12,1.1503567e-8,"(((sin(javautilLinkedListretainAlljavautilCollection) + log(input0)) + log(input1)) * 5.6656754e-5) + -0.00023083379"
13,1.1141736e-8,"(log(input1) + ((log(input0) + -4.0282483) * (javautilconcurrentCopyOnWriteArrayList + 0.7745745))) * 6.090959e-5"
16,1.1122743e-8,"(log(input1) + (((sin(javautilCollection) * -4.8233085) + log(input0)) * (javautilconcurrentCopyOnWriteArrayList + 0.7745745))) * 6.090959e-5"
17,1.1122127e-8,"sin((log(input1) + (((sin(javautilCollection) * -4.8233085) + log(input0)) * (javautilconcurrentCopyOnWriteArrayList + 0.7745745))) * 6.081844e-5)"
18,1.0648041e-8,"((log(input1) + cos(log(input0) + (log(input1) + 2.6283157))) + (log(input0) + -4.7072864)) * 6.5058324e-5"
19,1.06117275e-8,"(log(input1) + (log(input0) + (sin(sin(log(input0) + (log(input1) + -1.9356859))) + -4.7072864))) * 6.570518e-5"
20,1.0387251e-8,"((log(input0) + sin((log(input0) + 1.5027375) + exp(cos(log(input1))))) + (log(input1) + -4.8233085)) * 6.592054e-5"
21,1.0382407e-8,"(((log(input1) + -4.8233085) + log(input0)) + sin(sin((log(input0) + exp(cos(log(input1)))) + 1.633992))) * 6.6253e-5"
22,1.0317417e-8,"(sin(javautilVectorretainAlljavautilCollection + ((log(input0) + exp(cos(log(input1)))) + 1.5027375)) + ((log(input0) + log(input1)) + -4.8233085)) * 6.673976e-5"
23,1.0268135e-8,"(log(input0) + (sin(javautilVectorretainAlljavautilCollection + (exp(0.2852133) + (log(input0) + exp(cos(log(input1)))))) + (log(input1) + -4.8233085))) * 6.592054e-5"
24,1.0164008e-8,"(sin(cos((log(input1) + (ReturnTypevoid + cos(log(input0)))) + cos(log(input0)))) + ((log(input0) + log(input1)) + -4.8233085)) * 6.7471425e-5"
26,1.0118477e-8,"(((sin((log(input0) + exp(cos(log(input1)))) + (sin(cos(javautilconcurrentCopyOnWriteArrayList + -4.744404)) + 1.8933812)) + log(input1)) + log(input0)) + -4.943188) * 6.939811e-5"
27,9.934278e-9,"(sin(log(input1) + (((cos(log(input0)) + 2.1997294) + (javautilconcurrentCopyOnWriteArrayList * -4.8233085)) * 1.5027375)) + ((log(input0) + log(input1)) + -4.8233085)) * (javautilCollection * 6.896545e-5)"
